Team,Year,POS,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS,G-xG,GA-xGA,PTS-xPTS,G/xG,GA/xGA,PTS/xPTS,Shots pg,Possession,Pass,AerialsWon,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Shots OT pg,Dribbles pg,Offensive Fouled pg,Rating,NextYear
Norwich,2015,19,38,9,7,22,39,67,34,39.19,38.43,58.93,51.32,-12.89,11.82,8.52,182,267,39.18,-0.18999999999999773,8.07,-5.18,0.9951518244450116,1.1369421347361277,0.8677896886166412,11.0,46.5,73.6,17.4,16.0,12.4,11.0,2.4,3.4,8.4,8.1,6.61,1
Aston Villa,2015,20,38,3,8,27,27,76,17,26.53,25.0,59.01,55.2,-30.2,12.2,7.68,136,300,29.81,0.4699999999999989,16.990000000000002,-12.81,1.0177157934413872,1.2879173021521777,0.5702784300570278,10.0,47.3,77.8,19.1,19.2,20.2,11.3,1.1,2.9,11.1,9.6,6.69,0
Chelsea,2014,1,38,26,9,3,73,32,87,68.64,64.74,31.52,29.24,35.5,10.34,11.62,407,171,75.32,4.3599999999999985,0.4800000000000004,11.680000000000007,1.0635198135198136,1.0152284263959392,1.1550716941051515,14.8,54.1,83.2,18.6,20.0,9.7,10.1,2.0,5.5,12.9,11.4,7.06,0
Manchester City,2014,2,38,24,7,7,83,38,79,75.82,69.61,40.5,37.45,32.15,7.57,13.92,575,144,73.1,7.180000000000009,-2.5,5.900000000000006,1.0946979688736482,0.9382716049382716,1.0807113543091655,17.6,57.0,84.6,15.9,19.8,15.0,11.7,2.1,6.0,11.4,7.8,7.07,0
Arsenal,2014,3,38,22,9,7,71,36,75,69.8,64.47,35.72,33.44,31.04,8.2,10.58,398,171,75.17,1.2000000000000028,0.28000000000000114,-0.1700000000000017,1.017191977077364,1.0078387458006721,0.9977384594918184,16.1,55.7,83.8,19.8,19.4,20.2,9.9,1.7,6.0,15.8,11.0,7.15,0
Manchester United,2014,4,38,20,10,8,62,37,70,54.21,50.4,39.84,36.8,13.6,7.13,14.16,267,194,63.03,7.789999999999999,-2.8400000000000034,6.969999999999999,1.143700424275964,0.9287148594377508,1.1105822624147228,13.5,58.8,85.1,15.8,19.4,17.9,11.9,2.3,4.7,9.8,10.4,6.99,0
Tottenham,2014,5,38,19,7,12,58,53,64,52.39,48.43,57.04,51.6,-3.17,7.72,10.74,210,232,48.94,5.6099999999999985,-4.039999999999999,15.060000000000002,1.1070815041038369,0.929172510518934,1.3077237433592157,13.9,55.2,81.2,16.0,21.4,17.8,11.6,2.0,4.5,10.9,10.1,6.89,0
Liverpool,2014,6,38,18,8,12,52,48,62,51.7,47.13,38.25,35.83,11.3,9.76,10.87,306,201,61.17,0.2999999999999972,9.75,0.8299999999999983,1.0058027079303675,1.2549019607843137,1.0135687428478009,15.5,54.3,82.8,14.9,21.0,11.6,10.1,2.0,5.1,11.5,12.3,6.9,0
Southampton,2014,7,38,18,6,14,54,33,60,54.97,52.68,39.11,37.59,15.09,8.9,13.49,270,183,62.82,-0.9699999999999988,-6.1099999999999985,-2.8200000000000003,0.9823540112788794,0.8437739708514447,0.9551098376313276,13.4,51.9,79.7,16.9,21.4,16.5,12.3,2.4,4.4,7.0,10.4,6.91,0
Swansea,2014,8,38,16,8,14,46,49,56,40.9,39.38,55.94,54.42,-15.04,11.79,10.66,156,310,43.32,5.100000000000001,-6.939999999999998,12.68,1.1246943765281174,0.8759385055416518,1.2927054478301017,11.2,50.7,82.1,14.4,16.7,18.2,10.5,2.1,3.9,9.2,12.2,6.86,0
Stoke,2014,9,38,15,9,14,48,45,54,46.26,43.98,47.03,43.22,0.75,9.6,9.53,195,239,51.97,1.740000000000002,-2.0300000000000007,2.0300000000000007,1.0376134889753568,0.9568360620880288,1.039060996728882,13.2,50.2,77.5,24.4,19.3,13.2,12.8,2.0,3.6,9.4,10.8,6.87,0
Crystal Palace,2014,10,38,13,9,16,47,51,48,44.76,40.05,45.48,40.82,-0.77,10.53,6.22,180,258,50.56,2.240000000000002,5.520000000000002,-2.5600000000000023,1.0500446827524577,1.1213720316622693,0.9493670886075948,11.6,42.7,69.4,23.7,20.8,15.8,13.9,2.0,3.7,9.4,11.4,6.83,0
Everton,2014,11,38,12,11,15,48,50,47,44.89,39.56,46.18,43.14,-3.58,9.61,10.91,259,245,50.91,3.1099999999999994,3.82,-3.9099999999999966,1.0692804633548674,1.0827197921178,0.9231978000392852,12.7,53.6,82.5,15.3,17.4,11.7,10.3,2.2,4.4,10.3,11.8,6.82,0
West Ham,2014,12,38,12,11,15,44,47,47,46.69,45.16,57.4,53.44,-8.28,11.21,8.03,217,316,47.22,-2.6899999999999977,-10.4,-0.21999999999999886,0.9423859498822018,0.818815331010453,0.9953409572215164,12.9,46.7,74.6,22.9,17.0,13.3,11.1,2.4,4.0,6.8,11.0,6.85,0
West Bromwich Albion,2014,13,38,11,11,16,38,51,44,38.63,34.82,53.75,48.42,-13.6,12.24,8.76,161,283,44.74,-0.6300000000000026,-2.75,-0.7400000000000021,0.9836914315298991,0.9488372093023256,0.9834599910594546,10.8,44.9,75.0,17.2,18.3,15.5,11.1,1.7,3.5,6.3,10.7,6.77,0
Leicester,2014,14,38,11,8,19,46,55,41,48.21,45.16,56.39,53.35,-8.19,9.99,7.66,191,287,44.64,-2.210000000000001,-1.3900000000000006,-3.640000000000001,0.9541588881974694,0.9753502394041496,0.9184587813620072,12.0,44.8,71.1,23.4,20.8,19.6,12.0,1.6,3.6,9.2,9.2,6.84,0
Newcastle United,2014,15,38,10,9,19,40,63,39,40.22,39.46,51.01,47.97,-8.51,9.77,8.24,175,239,45.63,-0.21999999999999886,11.990000000000002,-6.630000000000003,0.9945300845350572,1.235051950597922,0.8547008547008547,12.3,48.1,76.9,17.7,21.7,16.9,11.4,1.0,3.8,11.7,11.6,6.74,0
Sunderland,2014,16,38,7,17,14,31,53,38,37.45,34.4,51.46,48.42,-14.02,10.26,7.73,153,313,44.18,-6.450000000000002,1.5399999999999991,-6.18,0.8277703604806408,1.0299261562378546,0.8601177003168855,10.7,46.2,76.1,15.3,20.0,15.2,11.6,1.8,3.4,9.0,11.8,6.75,0
Aston Villa,2014,17,38,10,8,20,31,57,38,33.1,32.34,49.71,46.66,-14.32,14.05,10.11,184,237,40.89,-2.1000000000000014,7.289999999999999,-2.890000000000001,0.9365558912386708,1.1466505733252867,0.9293225727561752,11.0,49.1,79.0,18.4,16.4,12.7,10.6,1.9,3.3,7.6,11.1,6.69,0
Hull,2014,18,38,8,11,19,33,51,35,32.79,32.03,46.99,44.7,-12.67,12.52,9.42,139,261,41.32,0.21000000000000085,4.009999999999998,-6.32,1.0064043915827996,1.0853373058097466,0.8470474346563408,11.3,45.5,76.5,21.9,20.1,15.9,11.9,1.9,3.4,6.7,10.6,6.76,0
Burnley,2014,19,38,7,12,19,28,53,33,39.37,37.09,57.89,54.08,-16.99,10.74,9.43,218,258,39.8,-11.369999999999996,-4.8900000000000015,-6.799999999999998,0.7112014224028449,0.9155294524097426,0.8291457286432161,11.3,44.0,70.3,25.1,16.1,14.9,10.7,1.7,3.3,6.4,10.5,6.79,0
Queens Park Rangers,2014,20,38,8,6,24,42,73,30,45.73,41.91,65.26,62.22,-20.31,9.56,7.34,179,298,40.28,-3.729999999999997,7.739999999999995,-10.28,0.9184342882134268,1.1186025130248236,0.7447864945382323,14.1,46.3,70.8,21.7,20.6,14.8,11.8,2.1,3.9,8.1,10.3,6.77,0
